SETTLEMENTDATE,REGIONID,RRP
2025/07/01 01:45:00,NSW1,176.71
2025/07/01 01:50:00,NSW1,176.71
2025/07/01 01:55:00,NSW1,160.16
2025/07/01 02:00:00,NSW1,157.08
2025/07/01 02:05:00,NSW1,157.08
2025/07/01 02:10:00,NSW1,157.08
2025/07/01 02:15:00,NSW1,157.08
2025/07/01 02:20:00,NSW1,143.76092
2025/07/01 02:25:00,NSW1,141.09016
2025/07/01 02:30:00,NSW1,141.66727
2025/07/01 02:35:00,NSW1,157.08
2025/07/01 02:40:00,NSW1,139.9802
2025/07/01 02:45:00,NSW1,131.8807
2025/07/01 02:50:00,NSW1,138.9501
2025/07/01 02:55:00,NSW1,109.69262
2025/07/01 03:00:00,NSW1,142.22121
2025/07/01 03:05:00,NSW1,106.92
2025/07/01 03:10:00,NSW1,109.69094
2025/07/01 03:15:00,NSW1,132.01223
2025/07/01 03:20:00,NSW1,132.51952
2025/07/01 03:25:00,NSW1,109.69278
2025/07/01 03:30:00,NSW1,122.82691
2025/07/01 03:35:00,NSW1,106.92
2025/07/01 03:40:00,NSW1,132.81298
2025/07/01 03:45:00,NSW1,122.86485
2025/07/01 03:50:00,NSW1,116.06748
2025/07/01 03:55:00,NSW1,106.92
2025/07/01 04:00:00,NSW1,106.92
2025/06/30 04:05:00,QLD1,182.34
2025/06/30 04:10:00,QLD1,153.89754
2025/06/30 04:15:00,QLD1,150.28811
2025/06/30 04:20:00,QLD1,145.7463
2025/06/30 04:25:00,QLD1,182.34
2025/06/30 04:30:00,QLD1,166.29225
2025/06/30 04:35:00,QLD1,145.50986
2025/06/30 04:40:00,QLD1,152.9574
2025/06/30 04:45:00,QLD1,182.34
2025/06/30 04:50:00,QLD1,171.26392
2025/06/30 04:55:00,QLD1,161.0
2025/06/30 05:00:00,QLD1,182.64275
2025/06/30 05:05:00,QLD1,156.90794
2025/06/30 05:10:00,QLD1,184.14014
2025/06/30 05:15:00,QLD1,227.878
2025/06/30 05:20:00,QLD1,225.73
2025/06/30 05:25:00,QLD1,167.92433
2025/06/30 05:30:00,QLD1,179.8381
2025/06/30 05:35:00,QLD1,175.97403
2025/06/30 05:40:00,QLD1,184.7913
2025/06/30 05:45:00,QLD1,204.30837
2025/06/30 05:50:00,QLD1,187.76535
2025/06/30 05:55:00,QLD1,209.31245
2025/06/30 06:00:00,QLD1,243.0
2025/06/30 06:05:00,QLD1,224.0902
2025/06/30 06:10:00,QLD1,280.81
2025/06/30 06:15:00,QLD1,279.0
2025/06/30 06:20:00,QLD1,280.94
2025/06/30 06:25:00,QLD1,276.83446
2025/06/30 06:30:00,QLD1,282.20587
2025/06/30 06:35:00,QLD1,233.63418
2025/06/30 06:40:00,QLD1,280.9
2025/06/30 06:45:00,QLD1,282.12349
2025/06/30 06:50:00,QLD1,280.83
2025/06/30 06:55:00,QLD1,281.11061
2025/06/30 07:00:00,QLD1,281.3633
2025/06/30 07:05:00,QLD1,283.55486
2025/06/30 07:10:00,QLD1,291.41094
2025/06/30 07:15:00,QLD1,286.85716
2025/06/30 07:20:00,QLD1,350.0
2025/06/30 07:25:00,QLD1,474.17178
2025/06/30 07:30:00,QLD1,948.69127
2025/06/30 07:35:00,QLD1,943.30518
2025/06/30 07:40:00,QLD1,379.4004
2025/06/30 07:45:00,QLD1,307.58844
2025/06/30 07:50:00,QLD1,295.74075
2025/06/30 07:55:00,QLD1,350.0
2025/06/30 08:00:00,QLD1,350.0
2025/06/30 08:05:00,QLD1,286.71765
2025/06/30 08:10:00,QLD1,319.73604
2025/06/30 08:15:00,QLD1,312.5587
2025/06/30 08:20:00,QLD1,312.63686
2025/06/30 08:25:00,QLD1,307.67295
2025/06/30 08:30:00,QLD1,304.68796
2025/06/30 08:35:00,QLD1,300.85142
2025/06/30 08:40:00,QLD1,300.36535
2025/06/30 08:45:00,QLD1,292.94226
2025/06/30 08:50:00,QLD1,287.25863
2025/06/30 08:55:00,QLD1,274.66
